date,day,number,topic,unit
"8/24/26","M","1","Introduction to Computing","1. Computing and Program Execution"
"8/26/26","W","2","How Computers Execute Programs","1. Computing and Program Execution"
"8/28/26","F","3","Python Expressions and Evaluation","2. Expressions, Types, and State"
"8/31/26","M","4","Data Types and Operators","2. Expressions, Types, and State"
"9/2/26","W","5","Variables, Assignment, and State","2. Expressions, Types, and State"
"9/4/26","F","6","Boolean Logic and Comparisons","3. Boolean Logic and Tracing"
"9/7/26","M","Labor Day","",""
"9/9/26","W","7","Code Tracing and Trace Tables","3. Boolean Logic and Tracing"
"9/11/26","F","8","Functions I -- Abstraction","4. Function Fundamentals"
"9/14/26","M","9","Functions II -- Return Values","4. Function Fundamentals"
"9/16/26","W","10","Functions III -- Composition","4. Function Fundamentals"
"9/18/26","F","11","Scope and Call Frames","5. Scope and Conditional Control Flow"
"9/21/26","M","12","Conditional Control Flow","5. Scope and Conditional Control Flow"
"9/23/26","W","13","Tracing Conditionals and Return","5. Scope and Conditional Control Flow"
"9/25/26","F","Personal Day","",""
"9/28/26","M","14","Function Design","6. Program Design and Testing"
"9/30/26","W","15","Testing and Unit Testing","6. Program Design and Testing"
"10/2/26","F","16","Debugging and Program Reasoning","6. Program Design and Testing"
"10/5/26","M","17","Lists I -- Sequential Data","7. Sequential Data"
"10/7/26","W","18","Lists II -- Slicing and Built-ins","7. Sequential Data"
"10/9/26","F","19","Strings as Sequences","7. Sequential Data"
"10/12/26","M","20","References, Aliasing, and Mutation","8. References and Mutation"
"10/14/26","W","21","Tracing Mutation","8. References and Mutation"
"10/16/26","F","22","Iteration I -- for and range","9. Iteration"
"10/19/26","M","23","Iteration II -- Common Loop Patterns","9. Iteration"
"10/21/26","W","24","Higher-Level Sequence Patterns","9. Iteration"
"10/23/26","F","25","Dictionaries and Associative Data","10. Structured Data"
"10/26/26","M","26","Nested Data and 2D Lists","10. Structured Data"
"10/28/26","W","27","Functions over Structured Data","10. Structured Data"
"10/30/26","F","Personal Day","",""
"11/2/26","M","28","Objects I -- Compound Data","11. Objects and Compound Data"
"11/4/26","W","29","Objects II -- Methods, Aliasing, and Collections","11. Objects and Compound Data"
"11/6/26","F","30","Searching Algorithms","12. Algorithms"
"11/9/26","M","31","Sorting Algorithms","12. Algorithms"
"11/11/26","W","Veterans Day","",""
"11/13/26","F","32","Algorithm Design and Loop Invariants","12. Algorithms"
"11/16/26","M","33","Input, Output, and String Processing","13. Input, Files, and Robust Programs"
"11/18/26","W","34","Files and Data Processing","13. Input, Files, and Robust Programs"
"11/20/26","F","35","Exceptions, Validation, and File Formats","13. Input, Files, and Robust Programs"
"11/23/26","M","Fall Break","",""
"11/25/26","W","Fall Break","",""
"11/27/26","F","Fall Break","",""
"11/30/26","M","36","Large Programs and Decomposition","14. Large Programs and Computing Applications"
"12/2/26","W","37","Applications: Images and Recursive Problems","14. Large Programs and Computing Applications"
"12/4/26","F","38","Computing in Society + Course Synthesis","14. Large Programs and Computing Applications"
"12/7/26","M","Deadweek","",""
"12/9/26","W","Deadweek","",""
"12/11/26","F","Deadweek","",""
